,ticker,number_of_investors,total_value,total_units
0,A,8,5154263000,123278092
1,AABA,11,8100122000,243539496
2,AAL,8,9063607000,214016600
3,AAP,5,3444103000,22883003
4,AAPL,163,314074298802,2983068638
5,ABBV,36,41728458000,704410478
6,ABC,8,5776588000,55699521
7,ABEV,3,1327603000,295855246
8,ABMD,1,510722000,5657090
9,ABT,27,26086894000,580895205
10,ACAD,2,1269788000,35618185
11,ACC,3,1468322000,35518202
12,ACGL,4,3018669000,43278409
13,ACM,1,667340000,22222431
14,ACN,25,33761206000,323084073
15,ACWX,1,399056000,10074617
16,ADBE,28,28664695000,305147060
17,ADI,10,6962250000,125853910
18,ADM,9,7516873000,204930754
19,ADP,19,16726532000,197433118
20,ADS,10,6892752000,24922761
21,ADSK,10,7095919000,116460155
22,ADT1,3,1776539000,53867161
23,AEE,2,1464164000,33869018
24,AEG,1,608919000,107393115
25,AEM,2,856363000,32585635
26,AEP,12,8501658000,145901029
27,AER,4,12755908000,297013318
28,AES,3,1977216000,206605545
29,AET,22,20289647000,187658307
30,AFL,9,7297500000,121827983
31,AGG,16,13889708000,128595875
32,AGIO,1,366544000,5646095
33,AGN,69,86889547313,275671371
34,AGNC,1,399100000,23016143
35,AGU,5,3182725000,35639331
36,AIG,42,40574266212,668328800
37,AIV,2,1907839000,47660214
38,AIZ,2,948372000,11775176
39,AJG,2,986176000,24088316
40,AKAM,3,2215651000,42098663
41,AL,2,3841189000,39438493
42,ALB,3,1704555000,30433053
43,ALK,6,2967770000,36862114
44,ALKS,6,6711854000,84553504
45,ALL,7,5562759000,89591376
46,ALLE,3,1520797000,23071734
47,ALLY,5,2568712000,137806395
48,ALNY,3,2675089000,28416061
49,ALSN,1,495152000,19125204
50,ALV,1,1055866000,8462500
51,ALXN,24,31912378000,167299324
52,AMAG,1,409500000,3500000
53,AMAT,11,7598041000,406965270
54,AMCX,2,1054841000,14124836
55,AME,7,5051056000,94253764
56,AMG,3,1475708000,9236933
57,AMGN,46,73617093000,453510391
58,AMH,1,413997000,24849801
59,AMLP,1,363236000,30144099
60,AMP,8,6042252000,56777356
61,AMSG,1,516542000,6796623
62,AMT,24,22368104000,230717516
63,AMTD,6,4006379000,115424330
64,AMZN,98,190958557224,282486121
65,AN,3,1150264000,19280326
66,ANAC,2,1221867000,10815855
67,ANAT,1,1119697000,10943101
68,ANDV,4,2935150000,27855614
69,ANDX,1,461866000,10106110
70,ANET,1,447994000,5755322
71,ANSS,4,1914213000,20694203
72,ANTM,26,28781873000,189429254
73,AON,19,14348188000,155603307
74,AOS,2,839702000,10960746
75,APA,12,8938937000,201009993
76,APC,9,8441508000,173764811
77,APD,14,13434678000,103256559
78,APH,11,9242664000,176961120
79,APLE,1,467173000,23393763
80,APTV,17,11348579000,132239640
81,AR,2,2357822000,108156985
82,ARE,2,1496221000,16558443
83,ARG,3,1688753000,12209108
84,ARII,1,549402000,11871268
85,ARMH,2,1162756000,25701942
86,ARMK,3,1488442000,46153219
87,ARNC,4,2812245000,284929943
88,ARW,1,498718000,9204858
89,ASH1,2,1681919000,16377007
90,ASML,3,2843907000,32036804
91,ASR,1,717198000,4325154
92,ATHN,9,5049340000,31368254
93,ATO,2,957594000,15190224
94,ATR,1,468169000,6444169
95,ATTO,1,610309000,62660015
96,ATVI,15,10004435000,258452978
97,AVB,17,14884185000,80835228
98,AVGO,21,21038902000,144959881
99,AVOL,1,406067000,13115870
100,AVT,1,427148000,9970774
101,AVY,1,620842000,9908100
102,AWI,1,420716000,9200000
103,AWK,3,1699887000,28450006
104,AXP,30,37494992000,539122753
105,AXS,3,1355111000,24103720
106,AXTA,2,2482075000,93135996
107,AYI,5,2881139000,12322518
108,AZN,4,4224944000,124446073
109,AZO,9,10999526000,14825962
110,AZPN,1,385812000,10217490
111,BA,34,51747621000,357903745
112,BABA,37,41327696000,508444639
113,BAC,74,90634623408,5309017826
114,BAH,1,878181000,28466158
115,BAM,13,8681108000,275424506
116,BAX,7,6946416000,182081418
117,BAYRY,1,592432000,4709574
118,BB,2,1126734000,121450807
119,BBBY,4,1996100000,41370047
120,BBD,1,1213495000,220235057
121,BBT,16,10422440000,275652337
122,BBY,4,3384177000,111138998
123,BCE,8,6776605000,175431763
124,BCR,5,3397478000,17934273
125,BCS,1,457237000,17358640
126,BDX,13,12580810000,81621600
127,BEN,6,4114891000,111756960
128,BEP,1,1047906000,40026986
129,BETR,1,501378000,43522422
130,BFAM,2,1463220000,21904484
131,BFB,3,1588785000,15633642
132,BG,3,1873274000,27435170
133,BHI,9,8406089000,182146776
134,BIDU,29,28866104000,151905279
135,BIIB,34,42620970000,138817002
136,BIL,2,856339000,18766790
137,BIV,3,3525690000,42447524
138,BK,23,22739983000,551691989
139,BKI,1,1295772000,39194569
140,BKNG,43,45929054000,36018193
141,BLK,21,36281945000,106548612
142,BLL,6,2934531000,40348251
143,BLV,1,454633000,5237102
144,BMO,10,11409843000,202293996
145,BMR,1,695027000,29338382
146,BMRN,12,10268636000,98020599
147,BMS,1,380604000,8516549
148,BMY,39,62347409000,906367796
149,BND,12,13844117000,171415857
150,BNS,16,18166934000,449156900
151,BOJA,1,403990000,25456231
152,BP,4,3442921000,110138237
153,BPL,4,2161323365,33840101
154,BPY,2,1711572000,73647647
155,BR,1,504650000,9392341
156,BRCM,23,18301030000,316515198
157,BRKB,67,106676928000,632829184
158,BRKR,2,1075857000,44328662
159,BRX,5,4846768000,187713791
160,BSAC,1,490767000,24899348
161,BSMX,1,386933000,44628986
162,BSV,7,6687582000,84046458
163,BSX,17,15294248000,829401241
164,BTI,1,1245859000,11279848
165,BUD,9,5777945000,46223658
166,BUFF,1,2151417000,114987547
167,BWA,5,3039931000,70319795
168,BWLD,1,456039000,2856497
169,BWP,1,1630108000,125586133
170,BWXT,1,484437000,15248253
171,BX,3,3450356000,118001414
172,BXLT,11,7540624000,193200775
173,BXP,15,11387563000,89286119
174,C,72,86464327440,1684713313
175,CA,6,3130049000,109593276
176,CAA,1,1624590000,42842557
177,CACC,1,475721000,2222789
178,CAG,7,5598741000,132797427
179,CAH,14,12250779000,137231763
180,CAM,4,2586403000,40924101
181,CAT,16,17854072000,262714309
182,CAVM,1,498810000,7591077
183,CB,17,22814690000,195247603
184,CB1,17,13465514000,101519276
185,CBG,6,3819145000,110443692
186,CBOE,2,994616000,15325353
187,CBPO,1,1188715000,8344200
188,CBRL,1,600894000,4737794
189,CBS,10,7181606000,152377532
190,CCE,3,2089494000,42434926
191,CCI,15,14503564000,167768392
192,CCK,4,2102374000,41466928
193,CCL,12,12845976000,235792421
194,CCP,1,364530000,11924445
195,CCR,1,461191000,9072295
196,CDK,4,1906705000,40166530
197,CDNS,3,1357826000,65248824
198,CDW,3,1750585000,41640893
199,CE,6,4440237000,65947378
200,CELG,44,52209125000,434589710
201,CERN,8,6635280000,110275807
202,CF,5,2744341000,67247200
203,CFG,7,4664692000,178109660
204,CFRHF,1,738977000,10149409
205,CHD,3,1936286000,22812210
206,CHH,1,457402000,9073641
207,CHKP,7,3041654000,37335927
208,CHL,1,822137000,14595027
209,CHRW,3,1675917000,27022204
210,CI,19,17243405000,117742700
211,CIB,1,383980000,14354394
212,CINF,3,1892786000,31988732
213,CIT,3,1712136000,43126863
214,CIU,1,652879000,6085754
215,CIVI,1,564439000,19605379
216,CL,23,26717039000,401051126
217,CLB,2,930649000,8558475
218,CLX,6,4529825000,35715751
219,CM,11,9786846000,148543791
220,CMA,5,2390270000,57142421
221,CMCSA,64,86618427072,1534024322
222,CME,14,12469664000,137634088
223,CMG,10,7658019000,15959163
224,CMI,7,5666466000,64384272
225,CMPR,1,377828000,4656492
226,CMS,5,3040021000,84257816
227,CNA,1,8519751000,242382673
228,CNC,3,1465420000,22267446
229,CNI,18,16334944000,292447061
230,CNP,3,1700002000,92592999
231,CNQ,13,9246378000,423704417
232,CNX,1,363463000,46007937
233,COF,17,19837848000,274838487
234,COG,4,2043422000,115513015
235,COL,3,2640098000,28603495
236,COMM,2,1959634000,75690732
237,CONE,1,363114000,9695943
238,COO,4,2379818000,17733390
239,COP,20,23985664000,513742598
240,COST,32,34063070280,210924091
241,CP,6,6273117000,49158485
242,CPB,4,2060190000,39204236
243,CPGX,3,2039482000,101974101
244,CPN,2,939918000,64956356
245,CPS,1,365484000,4710452
246,CPT,2,1395602000,18181378
247,CREE,2,773393000,28998596
248,CRH,1,814586000,28264585
249,CRM,26,31682636399,404125868
250,CSC,1,366739000,11222121
251,CSCO,65,75393681000,2776316308
252,CSGP,4,2044358000,9890962
253,CSJ,3,1384411000,13235268
254,CSL,2,1045893000,11792701
255,CSRA,1,435055000,14501807
256,CSX,7,7349781000,283228587
257,CTAS,3,1955543000,21477793
258,CTL,7,4536436000,180303664
259,CTLT,2,1111112000,44391182
260,CTRP,8,6904875000,124328962
261,CTSH,23,17457439000,289826423
262,CTXS,6,3903157000,51594898
263,CUBE,2,1465203000,47851203
264,CVC,2,948217000,29724648
265,CVE,4,1894074000,150104049
266,CVI,1,2801670000,71198718
267,CVS,53,61059173000,623827509
268,CVX,57,81351519000,904334523
269,CXO,7,5170622000,55681888
270,CXP,1,400460000,17055419
271,CXW,1,446859000,16868942
272,D,12,14859547000,221715266
273,DAL,22,17082747000,337004703
274,DANOY,1,619329000,45505452
275,DB,7,4373282000,181069437
276,DBEF,3,6232000000,229455082
277,DBEU,1,755208000,29214961
278,DCT,2,893001000,23896221
279,DD,26,27125945000,407310459
280,DDAIF,1,479640000,5691386
281,DDR,4,2627819000,156046239
282,DDS,1,535445000,8148612
283,DE,11,8012816000,105058637
284,DEI,2,1035092000,33197333
285,DEO,5,2337872000,21434598
286,DFS,8,5872476000,109520222
287,DG,9,6250051000,86963447
288,DGX,3,1979020000,27818201
289,DHI,7,3996975000,124214010
290,DHR,25,33672820000,342264635
291,DIA,6,3603432000,20710570
292,DIS,53,77022380000,732910012
293,DISCA,6,3295264000,127185209
294,DISH,6,6089694000,106500413
295,DLR,6,4239389000,56061700
296,DLTR,7,6232687000,80713579
297,DO,1,1542812000,73119047
298,DOV,5,2857560000,46608407
299,DOX,1,552463000,10123940
300,DPS,5,4801397000,51517159
301,DPZ,4,2344516000,21074308
302,DRE,2,1780392000,84699950
303,DRI,2,1470504000,23106613
304,DTE,6,3729113000,46503631
305,DUK,16,13835151000,193808100
306,DVA,4,4652541000,66741224
307,DVN,5,2701185000,84412208
308,DVY,2,1151927000,15328363
309,DWA,1,415818000,16135752
310,DWDP,24,21491770000,417496935
311,DXCM,2,825980000,10085229
312,DXJ,5,4304913000,85960741
313,DYAX,2,780341000,20742721
314,EA,13,9538139000,138816741
315,EADSY,2,1759139000,49393354
316,EBAY,17,11414939000,411748549
317,EBS,1,822250000,6500000
318,ECA,1,394470000,77642799
319,ECL,17,12096451000,105756605
320,ED,4,3362070000,52311612
321,EDU,3,1383507000,44102871
322,EEFT,1,456071000,6296714
323,EEM,28,18991864000,589012839
324,EFA,29,33162794000,564468473
325,EFAV,1,403674000,6222814
326,EFV,1,481041000,10340522
327,EFX,8,4879614000,43814453
328,EGN,3,1083989000,26445219
329,EGRX,1,423859000,4780188
330,EIGI,1,521339000,47697956
331,EIX,10,7629012000,128845671
332,EL,11,9049381000,102763870
333,ELS,2,1610675000,24158911
334,EMB,1,371681000,3513723
335,EMC,27,21971346000,855612997
336,EMN,4,2213983000,32794776
337,EMR,15,10276444000,214853403
338,ENB,15,12350305000,372130689
339,ENBL,1,439555000,47777730
340,ENDP,8,6300832000,102921446
341,EOG,20,19607053000,274356850
342,EPD,15,9389307418,370648747
343,EPE,1,493171000,112596207
344,EPR,1,521507000,8922282
345,EQC,1,488784000,17626536
346,EQGP,1,426863000,205618
347,EQIX,14,11644820000,38110189
348,EQM,2,1000555000,13892398
349,EQR,20,19510966000,239134350
350,EQT,4,2412001000,46268910
351,ERIC,1,718760000,74792904
352,ERIE,1,470639000,4920931
353,ERJ,2,981868000,33238617
354,ES,7,4856789000,95100720
355,ESRX,33,32130411000,367614635
356,ESS,11,8451501000,35301360
357,ESV,1,390664000,25384257
358,ETE,3,2114100000,153864659
359,ETFC,5,2926581000,98737928
360,ETN,10,7423714000,142653893
361,ETP,3,1387740000,56207963
362,ETP1,8,4157777197,123266883
363,ETR,6,3921544000,57366147
364,EVHC,1,645524000,24856517
365,EW,7,5417124000,68588665
366,EWBC,2,763294000,18366101
367,EWG,1,1250383000,47742757
368,EWJ,7,4787732254,395027276
369,EWU,1,371822000,23037233
370,EWY,1,396969000,7992130
371,EWZ,6,3425474000,166389623
372,EXC,10,9611843000,346123221
373,EXPD,4,2153679000,47753362
374,EXPE,9,5553025000,44674418
375,EXR,8,5252782000,59548596
376,EZU,5,4210648395,120166906
377,F,20,19628852000,1393140960
378,FANG,3,1332113000,19912000
379,FAST,6,3982065000,97551910
380,FB,81,134664789000,1286646746
381,FBC,1,822724000,35600352
382,FBGX,1,813292000,6548769
383,FBHS,6,3435476000,61899695
384,FBT,1,1212837000,10731173
